iter	Logloss
0	0.5875647712
1	0.5034136986
2	0.4349965664
3	0.3754672995
4	0.3279947565
5	0.3030752782
6	0.2687332467
7	0.2445207466
8	0.2223844994
9	0.2003623183
10	0.185444263
11	0.1717463436
12	0.1588681676
13	0.1480425672
14	0.1398841934
15	0.1318406256
16	0.1241645915
17	0.1180107068
18	0.1129510412
19	0.1094904039
20	0.1043161024
21	0.1022153319
22	0.09953963026
23	0.09630257598
24	0.09422312773
25	0.09236334166
26	0.08982956859
27	0.0878082178
28	0.08697396731
29	0.08564881598
30	0.08377510455
31	0.08196612843
32	0.07996948733
33	0.07815720013
34	0.07649327635
35	0.07600100978
36	0.07516018774
37	0.07456794851
38	0.07337287013
39	0.07218605296
40	0.07126159836
41	0.07041502644
42	0.07026040588
43	0.06965252137
44	0.06860651963
45	0.06823046347
46	0.06776203579
47	0.06646867352
48	0.06612663816
49	0.06563398228
50	0.06513008095
51	0.06457649797
52	0.06399723614
53	0.06316168554
54	0.06271160487
55	0.06192694933
56	0.06132929197
57	0.06091402223
58	0.06007853097
59	0.0597881545
60	0.05957240571
61	0.05910064961
62	0.05858456534
63	0.05789877786
64	0.05770170862
65	0.05722670209
66	0.05685309578
67	0.05653719431
68	0.05609869607
69	0.05594396405
70	0.05569119169
71	0.05506750101
72	0.05477678001
73	0.05449630899
74	0.05409796718
75	0.05374471193
76	0.05331376577
77	0.05283622832
78	0.05213895198
79	0.05175182578
80	0.05160094148
81	0.05117563442
82	0.05094468182
83	0.05084864247
84	0.05059821215
85	0.05004739054
86	0.0497302625
87	0.04939587761
88	0.04902950704
89	0.04879368335
90	0.04854066188
91	0.04840175508
92	0.04798039527
93	0.04753539946
94	0.04722766195
95	0.0469324733
96	0.0466577451
97	0.04638262158
98	0.04599406247
99	0.0455431693
100	0.04542597268
101	0.04523060383
102	0.04485319243
103	0.04461561662
104	0.04425757137
105	0.04413756481
106	0.04391836657
107	0.04344543131
108	0.04319739204
109	0.04284790829
110	0.04263826775
111	0.04251854089
112	0.04236923704
113	0.04180827882
114	0.04162612872
115	0.04127794514
116	0.04097005893
117	0.04057394943
118	0.04038316976
119	0.04008946461
120	0.03981754109
121	0.03967848599
122	0.03936681165
123	0.03918097326
124	0.03908789333
125	0.03894882331
126	0.03867628022
127	0.03858757807
128	0.03840105173
129	0.03806779683
130	0.03773905063
131	0.03756704474
132	0.03735766356
133	0.03710243055
134	0.03674200875
135	0.03648405286
136	0.03614586985
137	0.03594912271
138	0.03580737545
139	0.03544424711
140	0.0352624885
141	0.03511215136
142	0.03505682739
143	0.03484952406
144	0.03469382691
145	0.03456932782
146	0.03429400079
147	0.03425796214
148	0.03417348393
149	0.03407622024
150	0.03396922593
151	0.03373838241
152	0.03354841172
153	0.03346861412
154	0.03333091326
155	0.03308748991
156	0.03287941499
157	0.03243602576
158	0.03235860448
159	0.03208426729
160	0.03189042967
161	0.03177989221
162	0.0316243823
163	0.0315419326
164	0.03131822214
165	0.03116585209
166	0.03090350542
167	0.03070400128
168	0.03058329529
169	0.03039286188
170	0.03031199086
171	0.03003321892
172	0.02988084828
173	0.02959715809
174	0.02947913752
175	0.02940915236
176	0.02920159512
177	0.02914019661
178	0.02907605153
179	0.02883771666
180	0.02860784609
181	0.02824714501
182	0.02822128515
183	0.02814352564
184	0.0281077206
185	0.02807393801
186	0.02778526874
187	0.02768449292
188	0.02750542427
189	0.02737714965
190	0.02729036154
191	0.02711323488
192	0.0268941404
193	0.02686465707
194	0.02673651063
195	0.02661880974
196	0.02657316613
197	0.0263908301
198	0.02637211356
199	0.02624247245
200	0.02618830001
201	0.02612734079
202	0.0259257847
203	0.02571800984
204	0.02556907234
205	0.02555245851
206	0.02552483785
207	0.02543636328
208	0.02536004753
209	0.02533166287
210	0.0252903513
211	0.02527747632
212	0.02524253685
213	0.02499940214
214	0.0248854746
215	0.02481643486
216	0.02474597169
217	0.02470310802
218	0.02464089718
219	0.02455790113
220	0.02434077327
221	0.0241322548
222	0.02388535541
223	0.02369322018
224	0.02353944228
225	0.0234954424
226	0.02341218746
227	0.02338773411
228	0.02336700181
229	0.02321831474
230	0.02312727535
231	0.02307031473
232	0.02295322315
233	0.02291393721
234	0.02287853188
235	0.02270478945
236	0.02254678765
237	0.02252470599
238	0.02250363746
239	0.02231579381
240	0.02219789474
241	0.022176886
242	0.02213270854
243	0.02204679755
244	0.02197807288
245	0.02195793804
246	0.02188136285
247	0.02174264989
248	0.02166254316
249	0.02164182482
250	0.02147143263
251	0.02146041869
252	0.02141265654
253	0.02134167942
254	0.02127564787
255	0.02126205947
256	0.02117391554
257	0.02101974577
258	0.02092667306
259	0.02085286516
260	0.02080936505
261	0.0207394749
262	0.0206319439
263	0.0205465338
264	0.02050668793
265	0.02040299351
266	0.02035224805
267	0.02034365927
268	0.02033213442
269	0.02028908268
270	0.02024001494
271	0.02020243808
272	0.02013711719
273	0.0200695682
274	0.01998392792
275	0.019840551
276	0.01977597729
277	0.0197377585
278	0.01967311968
279	0.01963661349
280	0.01962768215
281	0.01956065027
282	0.01955286642
283	0.01940813298
284	0.01936023005
285	0.01932915718
286	0.01927369582
287	0.01922988254
288	0.01909541471
289	0.0190416614
290	0.01900626339
291	0.01896957496
292	0.01883089229
293	0.01881065561
294	0.0187835703
295	0.01874982194
296	0.01862207442
297	0.01841492383
298	0.01825493042
299	0.01816055619
